state,county,population,zips
FL,Santa Rosa,116980,32571 32565 32570 32565 32570 32570 32565 32561 32562 32583 32570 32572 32583 32570 32583 32565 32571 32583 32571 32583 32565 32570 32565 32566 32583 32563 32570 32571 32565 32583 32565 32583 32530 32571 32583 32564 32563 32565 32566 32563 32565 32566
FL,Seminole,312629,32773 32771 32745 32772 32746 32732 32765 32714 32701 32715 32716 32714 32703 32765 32766 32762 32766 32746 32795 32751 32730 32707 32718 32708 32719 32750 32779 32752 32791 32792
FL,Alachua,218356,32667 32694 32669 32640 32615 32616 32609 32622 32658 32643 32655 32609 32607 32612 32653 32608 32603 32601 32605 32604 32610 32611 32614 32627 32635 32618
FL,Clay,147959,32043 32067 32065 32073 32073 32006 32656 32003 32068 32050 32079 32043 32073 32043 32068 32065 32073 32030
FL,Washington,5365,32428 32463 32437 32462 32427 32428
FL,Okaloosa,137586,32569 32578 32588 32567 32579 32547 32539 32536 32548 32547 32549 32541 32540 32542 32580 32542 32547 32548 32579
FL,Hernando,155266,34606 34613 34601 34601 34603 34601 34609 34608 34604 34606 34611 34607 34602 34604 34601 34605 34661 34613 34606 34604 34601 34604 34607 34601 34602 34613 33523 34613 34613 34601 34607 34607
FL,Miami-Dade,8424400,33154 33165 33155 33142 33188 33160 33014 33169 33055 33056 33054 33269 33015 33017 33032 33092 33178 33166 33198 33154 33160 33162 33280 33166 33196 33186 33176 33186 33147 33154 33154 33143 33155 33032 33179 33141 33138 33153 33177 33157 33165 33167 33016 33018 33109 33158 33157 33257 33177 33187 33173 33160 33180 33163 33141 33149 33033 33030 33035 33172 33174 33126 33144 33172 33174 33014 33016 33018 33002 33168 33167 33160 33161 33181 33261 33190 33157 33189 33160 33161 33014 33016 33010 33012 33013 33018 33140 33141 33139 33109 33119 33239 33144 33155 33245 33034 33168 33147 33167 33150 33156 33174 33165 33199 33175 33182 33184 33265 33033 33178 33172 33122 33166 33112 33191 33206 33138 33150 33168 33161 33162 33169 33157 33193 33185 33170 33177 33146 33143 33134 33158 33156 33114 33234 33039 33033 33186 33173 33176 33156 33183 33116 33256 33283 33296 33147 33150 33247 33174 33144 33165 33155 33179 33180 33054 33166 33011 33186 33175 33183 33157 33129 33125 33126 33127 33128 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33222 33231 33233 33238 33255 33299 33144 33155 33196 33186 33015 33143 33155 33243
FL,St. Johns,194132,32082 32086 32080 32080 32084 32080 32095 32086 32145 32145 32259 32084 32082 32092 32095 32080 32081
FL,Brevard,858114,32754 32952 32953 32954 32951 32920 32796 32780 32781 32904 32955 32940 32923 32924 32909 32950 32949 32927 32926 32950 32903 32955 32956 32909 32905 32907 32976 32948 32908 32902 32906 32910 32911 32955 32940 32937 32904 32922 32926 32935 32940 32976 32904 32937 32901 32903 32934 32935 32904 32912 32919 32941 32925 32922 32926 32927 32937 32931 32932
